id,fullName,country,politicalGroup,nationalPoliticalGroup
229839,René REPASI,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
206158,Manuela RIPA,Germany,Group of the Greens/European Free Alliance,Ökologisch-Demokratische Partei
245858,Thomas RUDNER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
190517,Martin SCHIRDEWAN,Germany,The Left group in the European Parliament - GUE/NGL,DIE LINKE.
197422,Christine SCHNEIDER,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
96646,Helmut SCHOLZ,Germany,The Left group in the European Parliament - GUE/NGL,DIE LINKE.
124837,Joachim SCHUSTER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
28223,Andreas SCHWAB,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
197425,Ralf SEEKATZ,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
197423,Nico SEMSROTT,Germany,Group of the Greens/European Free Alliance,Independent
197426,Sven SIMON,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
96932,Birgit SIPPEL,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
124834,Martin SONNEBORN,Germany,Non-attached Members,Die PARTEI
96756,Sabine VERHEYEN,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
197451,Viola VON CRAMON-TAUBADEL,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
96761,Axel VOSS,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
197429,Marion WALSMANN,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
28229,Manfred WEBER,Germany,Group of the European People's Party (Christian Democrats),Christlich-Soziale Union in Bayern e.V.
2323,Rainer WIELAND,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
185619,Tiemo WÖLKEN,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
197489,Bernhard ZIMNIOK,Germany,Identity and Democracy Group,Alternative für Deutschland
